LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number
450,Henderson,914,87,9.52,13177,934,6084,53.26,14.42,92,2.28,41,3.11,8813,8199,5519,33,0.250436366,173,1.312893678,2432,18.45640131,503,3.817257342,9757,74.04568566,29,0.220080443,2,0.015177962,9530,1532,5121,2877,41-Rural: Fringe,41
460,Hertford,231,21,9.09,3095,222,2348,83.04,13.4,23,2.32,13,4.2,10190,9891,5690,22,0.71082391,17,0.549273021,71,2.294022617,2638,85.23424879,510,16.47819063,1,0.032310178,545,17.60904685,10626,1883,6839,1905,33-Town: Remote,33
181,Hickory Public,311,39,12.54,4238,254,2357,61.61,13.63,49,4.1,23,5.43,8944,8212,5136,9,0.212364323,213,5.025955639,850,20.05663049,970,22.88815479,2093,49.38650307,1,0.023596036,43,1.014629542,9286,1798,5187,2301,13-City: Small,13
470,Hoke,546,113,20.7,7945,601,4765,67.54,14.55,69,3.31,57,7.17,8726,8129,5123,927,11.66771554,65,0.818124607,1427,17.96098175,3037,38.22529893,2286,28.77281309,12,0.151038389,8,0.100692259,8910,1654,5906,1349,31-Town: Fringe,31
480,Hyde,70,7,10,575,44,329,64.87,8.21,3,1.76,6,10.44,18857,18435,10197,0,0,0,0,90,15.65217391,187,32.52173913,316,54.95652174,0,0,0,0,19066,2954,12795,3317,43-Rural: Remote,43
490,Iredell-Statesville,1162,114,9.81,21130,1273,7670,42.32,18.18,159,2.27,111,5.25,8668,7509,4642,44,0.208234737,573,2.711784193,2149,10.17037388,2992,14.15996214,14898,70.50638902,11,0.052058684,16,0.075721723,9285,1128,4862,3295,41-Rural: Fringe,41
500,Jackson,252,32,12.7,3553,354,1580,54.43,14.1,22,2.11,12,3.38,10045,9069,5547,383,10.77962285,40,1.125809175,293,8.246552209,43,1.210244863,2836,79.81987053,7,0.197016606,726,20.43343653,11028,1872,5654,3503,41-Rural: Fringe,41
510,Johnston,2156,186,8.63,31982,1537,12778,44.76,14.83,303,3.28,224,7,9246,8237,5185,158,0.494027891,189,0.590957414,5451,17.04396223,5397,16.87511725,20226,63.24182353,22,0.068788694,42,0.13132387,12576,899,5114,6563,41-Rural: Fringe,41
520,Jones,109,15.5,14.22,1138,127,815,82.78,10.44,16,4.42,11,9.67,11906,11578,6652,7,0.615114236,4,0.351493849,59,5.184534271,606,53.2513181,547,48.06678383,2,0.175746924,1011,88.8400703,12116,1858,8288,1970,42-Rural: Distant,42
132,Kannapolis,403,37,9.18,5119,317,3276,70.19,12.7,81,5.57,35,6.84,9974,8971,5909,6,0.117210393,72,1.406524712,1149,22.44579019,1448,28.28677476,2279,44.52041414,1,0.019535065,26,0.507911702,9080,1877,5098,2106,22-Suburb: Mid-size,22
530,Lee,600,84,14,9565,678,5261,62.09,15.94,140,4.72,54,5.65,9144,8427,5492,67,0.700470465,60,0.627286984,2955,30.89388395,2118,22.14323053,4379,45.78149503,4,0.041819132,51,0.533193936,9567,1479,5328,2760,41-Rural: Fringe,41
540,Lenoir,602,85,14.12,9128,822,4997,63.75,15.16,109,3.52,49,5.37,8870,8173,4924,30,0.328659071,45,0.492988606,981,10.74715162,4301,47.11875548,3788,41.49868536,5,0.054776512,251,2.749780894,9473,1543,5635,2295,41-Rural: Fringe,41
291,Lexington City,253,39,15.42,2920,191,2164,80.65,11.54,57,6.53,7,2.4,11141,10154,6312,18,0.616438356,165,5.650684932,945,32.3630137,1049,35.92465753,784,26.84931507,2,0.068493151,243,8.321917808,10642,2758,5626,2259,32-Town: Distant,32
550,Lincoln,790,58,7.34,11674,879,4765,48.35,14.78,132,3.39,107,9.17,9280,7907,5011,22,0.188452972,66,0.565358917,1245,10.66472503,722,6.184683913,9655,82.70515676,4,0.034264177,33,0.282679459,12521,1296,5000,6224,41-Rural: Fringe,41
560,Macon,347,25,7.2,4272,329,2331,62.27,12.31,55,4,37,8.66,11508,9364,5711,15,0.351123596,25,0.585205993,517,12.10205993,45,1.053370787,3618,84.69101124,4,0.093632959,0,0,10688,1905,5637,3145,41-Rural: Fringe,41
570,Madison,197,17,8.63,2550,198,1385,62.08,12.94,21,2.64,9,3.53,10330,9327,5547,12,0.470588235,12,0.470588235,80,3.137254902,5,0.196078431,2445,95.88235294,0,0,115,4.509803922,10263,1568,6667,2028,42-Rural: Distant,42
580,Martin,300,29,9.67,3745,281,2246,67.48,12.48,42,3.79,25,6.68,10162,9624,5806,5,0.133511348,21,0.560747664,163,4.35246996,1945,51.93591455,1685,44.99332443,1,0.02670227,11,0.293724967,10397,1710,6788,1899,42-Rural: Distant,42
590,McDowell,456,38,8.33,6300,518,3777,68.17,13.82,79,4.03,25,3.97,8752,8158,5282,33,0.523809524,80,1.26984127,717,11.38095238,197,3.126984127,5433,86.23809524,2,0.031746032,1,0.015873016,8629,1353,5502,1774,32-Town: Distant,32
610,Mitchell,177,14,7.91,2055,255,924,57.37,11.61,26,3.83,10,4.87,11087,10701,6470,3,0.145985401,13,0.632603406,137,6.666666667,7,0.340632603,1915,93.18734793,1,0.0486618,10,0.486618005,11181,1601,7430,2150,42-Rural: Distant,42
620,Montgomery,358,48,13.41,4104,304,2834,76.46,11.46,40,3.13,39,9.5,9168,8779,5569,7,0.170565302,78,1.900584795,1286,31.33528265,924,22.51461988,1969,47.97758285,5,0.121832359,12,0.292397661,9506,1773,5826,1907,42-Rural: Distant,42
630,Moore,826,95,11.5,12378,680,5015,46.01,14.99,96,2.4,103,8.32,8581,8036,5042,133,1.074486993,112,0.904831152,1323,10.68831798,2414,19.50234287,8457,68.32283083,10,0.080788496,56,0.452415576,9181,1320,4791,3070,42-Rural: Distant,42
491,Mooresville Graded,335,18,5.37,5420,301,1908,40.76,16.18,43,2.65,28,5.17,8184,7725,4784,11,0.20295203,105,1.937269373,374,6.900369004,852,15.7195572,4039,74.5202952,12,0.221402214,298,5.498154982,8215,953,4633,2629,31-Town: Fringe,31
862,Mount Airy City,110,13,11.82,1607,106,874,60.98,14.61,17,3.2,18,11.2,10265,9327,5712,0,0,31,1.929060361,255,15.86807716,169,10.51649035,1146,71.3130056,2,0.124455507,150,9.334163037,10548,1987,5641,2920,32-Town: Distant,32
640,Nash-Rocky Mount,1083,111.5,10.3,16802,1102,9785,64.8,15.51,243,4.47,87,5.18,10376,8539,5362,82,0.488037138,117,0.696345673,1688,10.04642304,8674,51.62480657,6056,36.04332818,11,0.065468397,15,0.089275086,10166,1540,5357,3269,41-Rural: Fringe,41
650,New Hanover,1555,132,8.49,24060,1170,9773,45.48,15.47,295,3.83,174,7.23,9657,8759,5241,117,0.486284289,383,1.591853699,2014,8.370739817,5808,24.13965087,15605,64.85868662,27,0.112219451,14,0.058187864,10333,1459,4957,3917,12-City: Mid-size,12
182,Newton Conover,201,17,8.46,2886,249,1607,64.31,14.36,45,4.54,30,10.4,9427,8199,5344,1,0.034650035,141,4.885654886,639,22.14137214,463,16.04296604,1570,54.4005544,1,0.034650035,852,29.52182952,9867,1632,5011,3223,22-Suburb: Mid-size,22
660,Northampton,195,30,15.38,2328,209,1981,94.07,11.94,26,3.72,13,5.58,12076,10728,6378,5,0.214776632,6,0.257731959,53,2.276632302,1980,85.05154639,419,17.99828179,1,0.042955326,179,7.689003436,12585,2177,7916,2493,42-Rural: Distant,42
670,Onslow,1438,205,14.26,23365,2366,7770,43.38,16.25,191,2.84,130,5.56,8369,7778,4892,199,0.851701263,248,1.061416649,2370,10.14337685,4775,20.4365504,14811,63.38968543,65,0.27819388,28,0.119837364,9066,1721,4805,2540,41-Rural: Fringe,41
680,Orange,518,44,8.49,7132,286,2554,39.82,13.77,54,2.37,76,10.66,11897,9781,6073,28,0.392596747,45,0.630959058,896,12.56309591,1224,17.16208637,4790,67.16208637,7,0.098149187,1422,19.93830623,18502,1164,5529,11809,41-Rural: Fringe,41
690,Pamlico,121,29,23.97,1391,107,785,64.13,11.5,8,1.48,6,4.31,12005,10460,5704,9,0.647016535,9,0.647016535,47,3.378864127,375,26.95902229,993,71.38749101,1,0.071890726,7,0.503235083,12822,1987,7330,3504,43-Rural: Remote,43
710,Pender,558,70,12.54,8156,675,4182,59.55,14.62,83,3.16,25,3.07,9157,8018,4767,38,0.465914664,24,0.294261893,875,10.72829819,1629,19.97302599,5681,69.65424228,7,0.085826385,49,0.600784698,10454,1587,4811,4055,42-Rural: Distant,42
720,Perquimans,122,10.5,8.61,1720,155,1010,67.73,14.1,19,3.39,3,1.74,10088,9763,5380,5,0.290697674,4,0.23255814,34,1.976744186,592,34.41860465,1157,67.26744186,0,0,196,11.39534884,10138,2029,6492,1616,42-Rural: Distant,42
730,Person,377,59,15.65,4926,350,2457,56.98,13.07,89,5.47,37,7.51,9266,8613,5526,20,0.406008932,9,0.182704019,402,8.160779537,1818,36.90621194,2746,55.74502639,2,0.040600893,40,0.812017864,10200,1535,5570,3095,32-Town: Distant,32
740,Pitt,1595,220,13.79,22971,1054,12484,58.94,14.4,318,4.31,306,13.32,9833,8251,5440,54,0.235079013,289,1.258108049,2088,9.089721823,11425,49.73662444,9174,39.93731226,7,0.030473205,28,0.121892821,8669,1490,5321,1857,41-Rural: Fringe,41
750,Polk,193,17,8.81,2331,213,1106,56.59,12.08,26,3.25,3,1.29,10441,10070,6099,8,0.343200343,5,0.214500215,268,11.4972115,151,6.477906478,1991,85.41398541,0,0,593,25.43972544,11289,1487,5923,3878,42-Rural: Distant,42
760,Randolph,1221,141,11.55,18372,1273,8639,53.95,15.05,112,1.98,139,7.57,8372,7714,4889,122,0.664053995,209,1.137600697,2534,13.79272806,729,3.967994775,14901,81.10711953,7,0.038101459,25,0.136076638,8887,1412,5107,2369,42-Rural: Distant,42
770,Richmond,522,75,14.37,7546,553,4951,72.94,14.46,105,4.34,39,5.17,9116,8418,5173,349,4.62496687,87,1.152928704,700,9.276437848,2998,39.7296581,3560,47.17731248,7,0.092764378,20,0.265041081,9297,1867,5786,1644,33-Town: Remote,33
421,Roanoke Rapids City,191,8,4.19,2896,199,1268,50.66,15.16,33,3.74,33,11.4,8917,8477,5196,17,0.587016575,47,1.622928177,109,3.763812155,671,23.1698895,2136,73.75690608,7,0.241712707,19,0.656077348,9034,1402,5572,2060,32-Town: Distant,32
780,Robeson,1586,85,5.36,23296,1513,17934,83.48,14.69,242,3.48,183,7.86,9638,8861,5672,10287,44.15779533,225,0.965831044,2495,10.70999313,6221,26.70415522,3837,16.47063874,7,0.030048077,0,0,9520,2291,5945,1284,41-Rural: Fringe,41
790,Rockingham,981,98,9.99,13527,883,7152,59.4,13.79,205,4.58,114,8.43,9437,8248,5040,46,0.34006062,67,0.495305685,1391,10.28313743,2893,21.38685592,8873,65.59473645,9,0.066533599,63,0.465735196,11360,1420,6163,3777,32-Town: Distant,32
